Instance,Algorithm,Run,Best,Worst,Avg,Std,pop_size,gen,Px,Pm,tournament,Elitism,cooling,innerLoop
a-n32-k5.vrp,ga,1,973.5929,1571.3135,1257.8602,173.2031,200,17,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1525.8831,1129.8110,149.5632,200,13,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1515.8364,1131.0175,149.5708,200,11,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.0835,1577.1854,1148.6956,137.5068,200,11,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.5929,1758.2021,1253.7350,170.5598,200,18,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.0835,1500.3412,1160.4922,121.7446,200,12,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.1841,1390.8418,1075.0762,139.8387,200,8,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,877.1042,1577.2482,1089.2811,136.1629,200,12,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1538.9000,1122.5166,151.5039,200,14,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.5929,1572.6569,1250.9939,165.3985,200,19,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1806.7203,1139.4071,176.9089,200,12,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.1841,1375.5056,1075.2900,129.6137,200,9,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,877.1042,1379.4191,1089.1151,130.0143,200,13,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1485.4966,1121.2410,165.1556,200,15,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1578.9674,1126.1761,154.6350,200,13,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.5929,1667.6995,1268.0906,190.1271,200,20,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,877.1042,1412.2782,1075.0219,129.1354,200,14,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.1841,1533.9265,1082.9558,149.9278,200,10,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1512.0320,1134.4705,156.8847,200,16,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1749.2035,1130.5352,159.9804,200,14,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.5929,1737.8210,1282.5077,185.3372,200,21,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,877.1042,1434.6016,1074.8464,140.4462,200,15,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.1841,1429.6210,1088.4795,148.4265,200,11,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1519.1241,1136.5565,170.6921,200,17,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.5929,1752.7014,1268.7073,166.9679,200,22,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1690.0911,1137.6754,167.4509,200,15,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,877.1042,1508.9564,1099.7936,141.6017,200,16,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.1841,1450.0380,1093.6481,147.5195,200,12,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1713.0625,1145.6282,163.0969,200,16,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,877.1042,1666.7423,1152.4489,168.2787,200,17,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,974.2025,1514.8857,1161.9574,124.9762,200,6,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1805.6587,1140.1649,165.3067,200,17,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,877.1042,1582.1978,1128.6077,163.8877,200,18,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,968.1091,1592.4673,1148.4336,137.2663,200,7,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1676.8601,1159.9778,163.2348,200,18,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,877.1042,1572.9890,1125.4598,144.4767,200,19,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1546.7865,1119.4597,160.3819,200,19,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,909.7003,1523.1350,1059.1548,117.7995,200,12,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,891.9400,1482.2430,1139.5365,147.6980,200,15,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.0835,1453.7867,1147.9674,115.9194,200,13,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,926.0033,1589.7278,1186.2617,150.0929,200,9,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1580.1956,1129.8512,172.1113,200,18,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.1841,1514.3983,1094.5430,142.6914,200,13,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1625.7212,1117.3347,163.2711,200,19,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1563.2949,1143.0959,169.6424,200,20,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.1841,1464.8986,1092.8190,155.6891,200,14,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1440.2278,1133.0706,168.3652,200,21,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,889.9745,1415.9810,1060.0364,109.6001,200,13,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.1841,1737.6589,1109.0870,161.9172,200,15,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1487.5194,1127.1132,146.7697,200,20,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,872.0456,1704.4275,1114.5518,148.7651,200,20,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,891.9400,1530.6765,1126.3508,151.4516,200,16,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.1841,1490.4880,1115.0536,151.4349,200,16,0.9000,0.0500,10,10,0.0000,0
